a,b,c,y
378,115,160,1
163,452,263,2
105,291,399,0
168,307,106,0
194,347,432,2
254,272,390,2
370,214,122,1
311,141,343,2
166,225,225,1
470,372,278,1
229,374,244,1
356,298,390,2
204,329,446,0
411,220,315,2
494,382,270,1
354,266,154,1
267,439,456,0
178,437,490,1
147,212,187,1
144,343,347,1
431,184,425,2
396,212,365,2
174,368,305,1
136,348,298,2
195,210,103,0
227,441,441,2
299,347,388,2
411,460,278,1
376,105,202,2
127,262,211,0
389,383,414,1
257,453,281,2
268,378,158,2
140,463,372,2
241,158,101,2
458,306,417,1
327,293,173,0
121,256,172,1
129,492,442,0
207,155,204,1
337,276,131,2
485,210,239,0
228,420,268,2
299,216,177,1
215,322,331,2
415,140,197,1
414,307,224,1
439,385,208,0
190,217,141,1
424,156,489,0
183,140,107,0
394,135,264,0
228,241,439,1
109,268,451,1
448,404,113,1
398,238,352,1
359,410,491,1
473,143,249,0
414,455,324,0
219,154,410,1
376,321,300,2
202,159,358,1
402,262,400,1
204,352,447,1
110,199,303,2
486,137,335,0
458,370,127,0
185,332,371,1
318,337,289,2
241,336,243,0
138,156,430,0
113,144,349,2
426,499,343,0
407,159,470,0
188,224,209,2
113,146,198,2
100,295,328,1
381,220,442,0
234,457,286,2
250,300,472,0
258,306,249,0
263,385,430,0
369,229,199,1
281,348,131,2
445,240,183,1
401,269,398,2
123,391,210,0
388,423,146,2
361,214,332,0
287,187,387,2
273,282,462,1
212,368,186,0
474,463,389,2
476,259,204,1
199,282,427,1
419,235,325,0
346,450,351,0
135,446,285,1
387,466,123,1
484,396,155,1
449,459,407,2
472,463,484,2
182,242,223,2
279,194,211,1
280,280,210,0
139,194,188,1
335,327,446,0
300,252,460,0
319,150,140,1
330,341,137,0
340,490,448,2
109,171,176,1
169,389,427,1
473,125,130,2
114,262,178,1
304,253,193,2
182,305,301,2
298,488,267,0
376,189,317,1
433,115,179,2
107,110,486,0
322,498,444,2
235,296,119,1
310,483,276,2
279,178,442,2
214,174,281,2
462,212,242,0
351,449,458,2
396,261,428,2
151,440,404,2
138,170,274,2
360,272,262,1
109,171,345,2
425,249,140,0
481,448,330,2
157,243,227,2
200,359,490,0
231,212,382,2
499,301,173,2
188,123,474,2
114,301,399,0
496,358,405,0
337,408,203,0
368,234,185,2
317,361,150,2
487,419,109,1
278,314,440,1
399,365,281,0
201,130,496,1
222,409,351,2
301,481,429,2
139,473,284,0
269,271,455,2
138,338,378,1
284,112,177,1
147,137,413,2
393,141,205,0
125,396,144,1
122,344,432,1
479,272,389,1
139,281,419,2
258,136,369,0
190,312,283,1
397,333,463,0
377,389,111,0
160,335,304,1
286,119,108,0
475,194,236,0
361,138,151,0
257,116,102,1
242,151,209,1
241,329,314,2
361,433,416,0
336,441,465,2
291,117,250,0
391,351,150,1
155,204,273,1
453,300,234,1
142,487,167,0
320,286,135,2
130,343,278,2
323,430,109,0
327,436,362,0
233,312,465,2
495,231,147,2
464,117,306,1
226,399,383,1
412,162,421,0
414,105,132,0
154,430,389,0
269,229,178,0
339,351,157,2
343,350,199,2
406,268,394,1
133,353,478,2
137,393,266,0
291,234,168,0
271,182,143,2
439,496,474,1
183,337,199,1
178,487,205,1
292,293,147,2
414,142,170,2
118,229,364,1
243,471,285,2
149,169,476,2
494,106,247,1
195,212,367,2
151,459,484,1
455,323,254,1
384,401,379,0
119,335,152,1
490,180,309,2
281,283,499,0
199,327,375,1
258,456,324,1
139,102,183,2
428,258,479,2
492,212,460,0
118,277,344,1
345,405,113,1
473,260,468,0
150,465,388,0
193,228,354,2
218,239,411,1
442,486,395,0
157,249,436,2
244,280,253,0
345,281,291,0
243,197,416,1
364,438,356,1
364,218,119,2
193,305,264,0
218,107,106,0
123,167,384,1
267,459,162,0
401,225,153,0
489,436,483,1
309,272,283,0
198,362,167,2
233,220,152,2
328,267,390,0
439,487,307,1
490,460,170,0
188,278,131,0
295,466,267,1
450,258,475,1
443,233,387,0
486,198,302,0
253,152,373,0
233,451,388,0
187,435,210,0
491,237,472,0
413,366,121,2
345,430,441,1
413,353,473,2
243,214,332,0
452,263,410,1
496,264,424,2
224,235,199,1
420,180,256,2
111,490,301,0
290,484,214,1
130,353,367,2
156,127,443,2
475,279,276,1
181,332,164,0
230,241,336,2
116,159,284,2
484,410,145,1
172,143,437,2
199,455,467,2
117,493,372,0
106,460,214,2
417,459,178,2
453,430,293,2
108,233,105,0
331,349,304,1
162,289,297,1
482,135,460,0
117,226,461,0
384,148,296,0
160,166,352,2
462,490,132,2
164,206,443,2
133,181,421,1
177,404,262,0
163,365,133,0
336,319,440,0
106,331,294,1
120,147,348,0
127,383,489,2
303,252,480,0
349,442,353,0
450,455,398,1
215,149,223,2
378,478,241,2
427,313,142,2
217,226,141,0
221,234,286,0
231,185,237,2
371,280,310,2
304,481,483,1
367,460,211,0
341,334,131,2
187,166,455,0
103,434,392,1
132,437,332,0
170,125,372,1
422,464,305,2
295,437,254,0
402,348,129,0
394,164,472,1
491,202,288,1
241,362,366,2
158,220,363,1
255,204,293,2
371,474,399,2
271,421,152,2
246,192,199,0
310,109,449,0
360,285,472,0
152,276,454,0
178,183,110,0
231,266,470,0
349,248,452,0
143,464,357,0
395,260,276,1
146,155,216,2
499,492,278,2
313,375,485,0
342,441,208,2
360,439,331,1
304,378,160,2
463,397,303,2
245,192,469,2
399,202,271,2
384,135,411,1
366,300,254,2
318,185,268,0
212,116,258,2
460,288,377,1
357,112,192,0
156,310,340,2
194,112,445,0
116,356,286,0
246,246,385,2
102,232,196,0
497,418,451,2
384,347,453,2
208,176,156,0
202,122,440,2
397,352,452,2
223,253,351,2
151,236,322,2
474,438,242,2
135,347,196,1
246,211,427,2
489,245,252,1
250,314,221,1
458,289,198,0
396,149,191,2
180,196,488,1
256,304,390,0
278,388,264,0
313,130,484,1
293,278,431,1
165,353,325,2
233,119,341,1
472,160,483,0
425,430,406,2
177,354,247,0
413,409,357,0
175,384,223,2
461,359,478,2
389,229,350,0
400,358,406,2
498,149,123,2
282,169,225,2
206,204,257,1
397,211,144,1
380,312,415,1
333,133,197,0
165,470,103,0
156,409,345,1
456,280,151,1
336,257,160,0
496,296,247,2
218,410,145,1
107,389,237,0
457,122,393,1
155,417,119,2
192,483,301,1
379,284,305,1
365,439,365,2
260,360,305,2
181,386,200,1
462,142,466,2
480,348,367,2
493,250,321,1
200,212,258,2
316,452,231,2
195,192,476,1
218,447,248,2
302,165,132,2
220,365,132,0
437,431,397,0
236,103,448,2
150,377,324,0
193,191,239,0
