a,b,c,y
4045,557,0.74,48
6347,112,0.09,99
3185,318,0.22,84
2069,922,0.64,95
9644,544,0.15,25
8916,648,0.36,71
9423,722,0.93,83
3573,410,0.39,95
6627,293,0.18,39
1874,796,0.99,91
7907,614,0.48,33
9318,450,0.72,56
8478,548,0.23,11
2914,447,0.22,67
3491,863,0.01,86
5452,768,0.72,1
5366,915,0.1,19
3945,307,0.64,89
7588,616,0.22,1
4298,156,0.78,42
7179,584,0.75,49
2335,193,0.82,28
9995,810,0.62,69
5260,194,0.12,10
7932,864,0.96,73
7601,486,0.43,95
4083,394,0.55,91
6729,634,0.25,81
1525,656,0.21,94
6615,551,0.93,61
2672,750,0.24,84
6724,295,0.39,52
6779,700,0.63,12
2922,367,0.96,12
8062,635,0.48,91
7236,467,0.42,30
2234,377,0.71,79
3813,934,0.41,81
4359,752,0.64,24
2103,667,0.8,30
5635,328,0.59,32
6081,364,0.7,5
3638,124,0.5,53
6543,459,0.69,45
3890,349,0.65,51
1200,241,0.7,62
2434,278,0.0,29
4207,506,0.02,35
9630,659,0.0,64
4056,922,0.81,18
9343,611,0.06,87
7969,349,0.03,89
7193,457,0.28,65
5514,431,0.84,55
8409,591,0.26,45
3861,290,0.47,52
6943,727,0.41,30
3829,160,0.5,36
5380,974,0.38,19
7920,982,0.05,93
3669,407,0.84,83
5176,158,0.28,60
9381,698,0.56,37
7271,887,0.68,53
2269,763,0.6,80
5424,972,0.73,55
4242,358,0.39,7
1165,230,0.3,29
8170,780,0.79,4
6576,356,0.85,96
4677,217,0.4,76
6601,821,0.63,56
2994,256,0.49,82
8981,207,0.57,82
1034,473,0.28,24
7064,380,0.98,81
5885,584,0.95,20
2486,265,0.87,13
7315,374,0.33,5
5836,253,0.93,80
9739,349,0.57,17
8164,161,0.59,90
2617,695,0.45,74
7669,682,0.03,42
3194,282,0.25,24
4534,593,0.98,50
8074,750,0.65,71
2639,913,0.21,57
1817,537,0.66,47
8413,379,0.94,49
7797,946,0.57,86
8787,744,0.65,9
5591,502,0.97,41
4845,249,0.68,31
2123,706,0.25,49
6783,369,0.61,4
7608,237,0.14,97
3717,617,0.08,45
1976,101,0.01,98
3363,693,0.37,4
7313,633,0.68,79
2595,715,0.07,77
5759,193,0.46,60
8959,167,0.34,25
5510,107,0.68,87
8139,675,0.78,60
2577,361,0.92,96
5720,652,0.37,21
7924,996,0.83,98
4737,255,0.24,70
9152,225,0.72,16
1345,542,0.28,57
9534,513,0.75,36
4055,461,0.88,92
3542,466,0.21,53
4532,174,0.88,43
6262,714,0.25,23
6896,188,0.84,67
7842,336,0.44,48
9665,297,0.78,32
2999,308,0.15,61
9996,415,0.7,91
9702,388,0.35,72
1767,475,0.85,20
6903,173,0.89,2
8482,543,0.33,72
7804,524,0.86,23
2102,192,0.45,91
5266,710,0.88,48
9291,573,0.22,63
8521,720,0.14,38
9695,730,0.91,7
6468,670,0.8,10
8296,518,0.99,60
9980,659,0.51,80
8471,872,0.87,62
1397,501,0.35,73
1531,121,0.51,87
9057,671,0.61,61
2856,610,0.01,91
5273,740,0.66,68
9665,113,0.46,35
5334,659,0.27,7
1699,303,0.89,76
3516,456,0.92,29
5827,919,0.64,43
9582,286,0.74,87
4506,265,0.2,42
7762,498,0.98,74
9405,249,0.24,49
5091,498,0.43,42
